#,object_name,name,hp,str,res,spd,chr,weapon,armor,helm,theme,pts,man,,tot_str mn,tot_str_mx,total res,hero attack,hits to kill enemy,hero hp loss,hits to kill hero
0,obj_hero,main hero,1,1,1.25,1,0,cracked staff,rusty chainmail,great helm,00_null,9,1,,1.50,2.75,6.53,-,,-,
1,obj_character,dummy,1,1,1,1,0,bare hands,naked,no headwear,00_null,2,1,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
2,obj_neutral,messenger,1,1,1,1,1,bare hands,naked,no headwear,00_null,1,1,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
3,obj_ally_townsfolk,peasant,1,1,1,1,1,bare hands,basic clothes,no headwear,01_camp,2,3,,0.50,1.00,1.26,1.2~2.2,0~1,0.1~0.2,7~13
4,obj_ally_townsfolk,kind peasant,1,1,1,1,1,bare hands,basic clothes,hat,01_camp,2,3,,0.50,1.00,1.73,0.9~1.6,1~1,0.1~0.2,7~13
5,obj_ally_townsfolk,moody peasant,1,1,1,1,1,silver fork,basic clothes,filthy hat,01_camp,2,1,,0.75,1.25,1.52,1~1.8,1~1,0.1~0.2,5~9
6,obj_ally_townsfolk_female,young lady,1,1,1,1,1,bare hands,pretty dress,wig,01_camp,2,2,,0.50,1.00,1.38,1.1~2,1~1,0.1~0.2,7~13
7,obj_ally_townsfolk,nobleman,1,1,1,1,1,old knife,elegant clothes,warm hood,01_camp,4,1,,2.00,3.50,1.73,0.9~1.6,1~1,0.3~0.5,2~3
8,obj_ally_townsfolk,madman,1,1,1,1,-1,crafty shiv,torn clothes,top hat,01_camp,4,1,,0.75,2.50,1.80,0.8~1.5,1~1,0.1~0.4,3~9
9,obj_ally_townsfolk,villager,1,1,1,1,1,leather strips,basic clothes,stray hat,01_camp,2,4,,0.50,1.00,1.52,1~1.8,1~1,0.1~0.2,7~13
10,obj_ally_townsfolk,merchant,1,1,1,1,0,leather gloves,worn jacket,no headwear,01_camp,3,1,,1.00,1.30,1.38,1.1~2,1~1,0.2~0.2,5~7
11,obj_ally_townsfolk_female,nun,1,1,0.75,1,2,bare hands,nun habit,warm hood,01_camp,2,2,,0.50,1.00,1.86,0.8~1.5,1~1,0.1~0.2,7~13
12,obj_ally_townsfolk,innkeeper,1,1,1,1,0,sharp keys,clumsy coat,hat,01_camp,3,1,,1.10,2.00,1.90,0.8~1.4,1~1,0.2~0.3,3~6
13,obj_dog,dog,1,1,1,1,1,bare hands,naked,no headwear,01_camp,1,1,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
14,obj_ally_townsfolk,farmer,1,1,1,1,1,farmer's rake,worn jacket,stray hat,01_camp,4,2,,2.00,4.00,1.67,0.9~1.6,1~1,0.3~0.6,2~3
15,obj_neutral,visitor,1,1,1,1,0,rusty dagger,torn clothes,coonskin cap,02_plains,4,2,,1.50,3.00,1.66,0.9~1.7,1~1,0.2~0.5,2~4
16,obj_neutral,prophet,1,0.75,1,1,0,metal rod,priest robe,stray hat,02_plains,6,1,,1.50,3.75,3.63,0.4~0.8,1~2,0.2~0.6,2~4
17,obj_ally,painter,1,1,1,1,0,wet paint brush,worn jacket,clumsy cap,02_plains,3,1,,0.60,0.80,1.82,0.8~1.5,1~1,0.1~0.1,8~11
18,obj_mercenary_kid,curious kid,2,1,1,1.5,1,sharp stick,basic clothes,no headwear,02_plains,6,1,,1.00,2.00,1.26,1.2~2.2,1~2,0.2~0.3,3~7
19,obj_merchant_traveller,homeless peasant,1,1.6,1,0.8,0,crafty shiv,torn clothes,clumsy cap,03_woods,5,2,,1.20,4.00,1.66,0.9~1.7,1~1,0.2~0.6,2~5
20,obj_mercenary,hungry bandit,1,1,1,1.2,0,broken sword,torn clothes,tin hat,03_woods,6,2,,2.00,4.00,1.80,0.8~1.5,1~1,0.3~0.6,2~3
21,obj_neutral,fool,2,2,1,2,-1,nail gloves,bikini,bucket,04_castle_ruins,26,1,,3.50,7.50,0.83,1.8~3.3,1~1,0.5~1.1,1~2
22,obj_mercenary,angry priest,3,2,2,0.75,2,ancient sword,priest robe,warm hood,04_castle_ruins,30,1,,4.00,13.00,8.25,0.2~0.3,9~17,0.6~2,1~2
23,obj_dog,guard dog,1,1,1,1,-1,bare hands,naked,no headwear,05_castle_fortress,2,1,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
24,obj_neutral,fat priest,5,1,2,0.75,0,broom stick,heavy pelt,wooden cap,05_castle_fortress,18,1,,1.00,2.75,4.46,0.3~0.6,8~15,0.2~0.4,2~7
25,obj_mercenary,knight,2,2,2,1.2,1,sharp sword,knight's armor,knight's helm,05_castle_fortress,68,4,,6.00,14.00,18.48,0.1~0.1,13~25,0.9~2.1,0~1
26,obj_enemy_large,minotaur,10,3,2,0.9,-3,large claymore,heavy pelt,demon's helm,06_castle_dungeon,142,1,,12.00,33.00,8.91,0.2~0.3,32~59,1.8~5.1,0~1
27,obj_ally,king,3,1.5,1,1,2,rapier,king's cape,silver crown,06_castle_dungeon,24,1,,7.50,16.50,2.40,0.6~1.1,3~5,1.1~2.5,0~1
28,obj_ally,queen,3,1,1,1,2,golden staff,queen's dress,golden crown,06_castle_dungeon,16,1,,4.50,11.00,3.00,0.5~0.9,3~6,0.7~1.7,1~1
29,obj_merchant,forest witch,3,3,1,1.25,-1,broom stick,pretty dress,assassin's hood,07_forest,28,1,,3.00,8.25,1.67,0.9~1.6,2~3,0.5~1.3,1~2
30,obj_mercenary_traveller,wanderer,1,5,3,0.9,1,cigarette pack,warm pelt,filthy hat,07_forest,23,2,,2.50,6.25,4.79,0.3~0.6,2~3,0.4~1,1~3
31,obj_merchant,evil witch,10,5,1,1,0,metal ring,pretty dress,assassin's hood,08_evil_village,46,1,,3.00,8.75,1.67,0.9~1.6,6~11,0.5~1.3,1~2
32,obj_mercenary_traveller,lone traveller,1,1,1,1,1,heavy claws,warm pelt,viking helm,10_tundra,6,5,,2.00,4.00,3.27,0.5~0.8,1~2,0.3~0.6,2~3
33,obj_neutral,lost peasant,1,1,1,1,1,metal ring,basic clothes,warm hood,10_tundra,2,3,,0.60,1.75,1.73,0.9~1.6,1~1,0.1~0.3,4~11
34,obj_ally_farmer,lonely farmer,1,1,1,1,1,farmer's rake,warm pelt,stray hat,11_snow_camps,4,1,,2.00,4.00,1.60,0.9~1.7,1~1,0.3~0.6,2~3
