#,object_name,name,hp,str,res,spd,chr,weapon,armor,helm,theme,pts,man,,tot_str mn,tot_str_mx,total res,hero attack,hits to kill enemy,hero hp loss,hits to kill hero
0,obj_hero,main hero,1,1,1.25,1,0,cracked staff,rusty chainmail,great helm,00_null,9,1,,1.50,2.75,6.53,-,,-,
1,obj_character,dummy,1,1,1,1,0,bare hands,naked,no headwear,00_null,2,0,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
2,obj_neutral,messenger,1,1,1,1,1,bare hands,naked,no headwear,00_null,1,0,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
3,obj_ally_farmer,simple farmer,5,2,2,1,2,farmer's rake,farmer's clothes,stray hat,01_camp,26,0,,4.00,8.00,2.93,0.5~0.9,5~10,0.6~1.2,1~2
4,obj_enemy_dog,hungry dog,2,1,1.5,1.5,-1,bare hands,naked,no headwear,02_plains,6,0,,0.50,1.00,1.50,1~1.8,1~2,0.1~0.2,7~13
5,obj_enemy_boar,wild boar,1,2,5,0.8,-1,bare hands,naked,no headwear,02_plains,7,0,,1.00,2.00,5.00,0.3~0.6,2~3,0.2~0.3,3~7
6,obj_enemy_dog,wolf,1,2,1,1,-1,bare hands,naked,no headwear,03_woods,5,0,,1.00,2.00,1.00,1.5~2.8,0~1,0.2~0.3,3~7
7,obj_enemy_boar,angry boar,1,1,1,1,-1,bare hands,naked,no headwear,03_woods,2,0,,0.50,1.00,1.00,1.5~2.8,0~1,0.1~0.2,7~13
8,obj_enemy,bandit,1,1.5,1,1,0,rusty dagger,torn clothes,bandana,03_woods,6,0,,2.25,4.50,1.26,1.2~2.2,0~1,0.3~0.7,1~3
9,obj_enemy,tough bandit,1,1.75,1.2,1,0,broken sword,torn clothes,rusty helm,03_woods,12,0,,3.50,7.00,2.99,0.5~0.9,1~2,0.5~1.1,1~2
10,obj_enemy,plagued peasant,2,1,1.25,0.75,-1,pebbles,torn clothes,no headwear,04_castle_ruins,3,0,,0.25,1.00,1.58,1~1.7,1~2,0~0.2,7~26
11,obj_enemy_guard,sickly guard,2,1.5,1.5,1,-1,sharp keys,rusty chainmail,guard helm,04_castle_ruins,14,0,,1.65,3.00,5.07,0.3~0.5,4~7,0.3~0.5,2~4
12,obj_enemy,skeleton,4,2,4,1,-2,bare hands,naked,no headwear,04_castle_ruins,20,0,,1.00,2.00,4.00,0.4~0.7,6~11,0.2~0.3,3~7
13,obj_enemy_ghost,ghost,5,2.5,2.5,1.5,-3,bare hands,naked,no headwear,04_castle_ruins,27,0,,1.25,2.50,2.50,0.6~1.1,5~8,0.2~0.4,3~5
14,obj_enemy_guard,young guard,2,1,1,1.25,0,old knife,heavy chainmail,guard helm,05_castle_fortress,14,0,,2.00,3.50,4.22,0.4~0.7,3~6,0.3~0.5,2~3
15,obj_enemy_guard,buff guard,1,1.25,2,1,-1,sharp sword,bronze armor,guard helm,05_castle_fortress,19,0,,3.75,8.75,10.56,0.1~0.3,4~7,0.6~1.3,1~2
16,obj_enemy_patrol,evil knight,2,1.5,1,1,-2,sharp sword,knight's armor,assassin's hood,05_castle_fortress,22,0,,4.50,10.50,5.08,0.3~0.5,4~7,0.7~1.6,1~1
17,obj_enemy,prisoner,2,1,1,1,-1,rusty chain,torn clothes,tin hat,06_castle_dungeon,6,0,,1.35,2.75,1.80,0.8~1.5,1~2,0.2~0.4,2~5
18,obj_enemy_guard,heavy guard,2,1,2.5,1,-1,large claymore,golden armor,golden mask,06_castle_dungeon,44,0,,4.00,11.00,17.82,0.1~0.2,13~24,0.6~1.7,1~2
